MAG,MG,Coverage
MAG00001,MG_0052RFLQV1,1041.522
MAG00002,MG_0139RFLQV1,73.34938
MAG00004,MG_0139RFLQV1,296.116
MAG00005,MG_0226RFLQV1,132.54056
MAG00006,MG_0226RFLQV1,402.57147
MAG00007,MG_0254RFLQV1,855.7578
MAG00009,MG_0262RFLQV1,956.9855
MAG00010,MG_0269RFLQV1,692.007
MAG00011,MG_0269RFLQV1,494.9009
MAG00012,MG_0273RFLQV1,567.2482
MAG00013,MG_0273RFLQV1,18.748604
MAG00014,MG_0273RFLQV1,619.6073
MAG00015,MG_0273RFLQV1,78.12445
MAG00016,MG_0273RFLQV1,76.531166
MAG00017,MG_0273RFLQV1,23.203686
MAG00018,MG_0273RFLQV1,102.933334
MAG00019,MG_0273RFLQV1,858.4571
MAG00020,MG_0273RFLQV1,224.63683
MAG00021,MG_0273RFLQV1,22.625595
MAG00022,MG_0277RFLQV1,31.21329
MAG00023,MG_0277RFLQV1,11.636931
MAG00024,MG_0277RFLQV1,3052.695
MAG00025,MG_0277RFLQV1,108.059204
MAG00026,MG_0277RFLQV1,55.56364
MAG00027,MG_0277RFLQV1,26.617493
MAG00028,MG_0277RFLQV1,56.444695
MAG00029,MG_0277RFLQV1,37.647743
MAG00030,MG_0277RFLQV1,10.254965
MAG00031,MG_0277RFLQV1,241.37556
MAG00032,MG_0277RFLQV1,295.16122
MAG00033,MG_0277RFLQV1,30.447506
MAG00034,MG_0277RFLQV1,213.1355
MAG00035,MG_0277RFLQV1,25.027407
MAG00036,MG_0277RFLQV1,743.8358
MAG00037,MG_0277RFLQV1,18.204128
MAG00038,MG_0277RFLQV1,340.57578
MAG00039,MG_0277RFLQV1,8.520525
MAG00040,MG_0277RFLQV1,10.519758
MAG00041,MG_0277RFLQV1,1161.2404
MAG00042,MG_0277RFLQV1,6.6025424
MAG00043,MG_0277RFLQV1,7.617742
MAG00044,MG_0277RFLQV1,461.7917
MAG00045,MG_0277RFLQV1,576.9594
MAG00046,MG_0277RFLQV1,11.815141
MAG00048,MG_0277RFLQV1,17.055506
MAG00049,MG_0277RFLQV1,54.36941
MAG00050,MG_0277RFLQV1,26.977032
MAG00051,MG_0279RFLQV1,17.029211
MAG00052,MG_0279RFLQV1,228.0513
MAG00053,MG_0283AFLQV1,20.045013
MAG00054,MG_0283AFLQV1,250.59277
MAG00056,MG_0295RFLQV1,21.517124
MAG00057,MG_0295RFLQV1,71.77401
MAG00058,MG_0295RFLQV1,280.6899
MAG00059,MG_0295RFLQV1,17.48018
MAG00060,MG_0295RFLQV1,26.529558
MAG00061,MG_0295RFLQV1,1025.4028
MAG00062,MG_0321RFLQV1,1263.4913
MAG00064,MG_0325RFLQV1,255.45699
MAG00065,MG_0325RFLQV1,93.10333
MAG00068,MG_0330RFLQV1,1093.2821
MAG00070,MG_0330RFLQV1,37.24828
MAG00071,MG_0338RFLQV1,390.3124
MAG00072,MG_0338RFLQV1,60.27593
MAG00073,MG_0342RFLQV1,948.52295
MAG00074,MG_0345RFLQV1,155.20448
MAG00075,MG_0345RFLQV1,1313.1653
MAG00076,MG_0350RFLQV1,393.78525
MAG00077,MG_0350RFLQV1,63.805202
MAG00078,MG_0350RFLQV1,544.4865
MAG00079,MG_0350RFLQV1,89.29259
MAG00080,MG_0350RFLQV1,874.971
MAG00081,MG_0350RFLQV1,130.82407
MAG00083,MG_0350RFLQV1,3182.327
MAG00084,MG_0350RFLQV1,35.466084
MAG00085,MG_0365RFLQV1,305.97626
MAG00087,MG_0383RFLQV1,61.63791
MAG00088,MG_0383RFLQV1,23.947454
MAG00089,MG_0383RFLQV1,262.647
MAG00090,MG_0383RFLQV1,512.0893
MAG00091,MG_0383RFLQV1,419.14346
MAG00092,MG_0383RFLQV1,41.740955
MAG00093,MG_0384RFLQV1,395.49008
MAG00094,MG_0387RFLQV1,12.113604
MAG00095,MG_0387RFLQV1,12.646365
MAG00096,MG_0387RFLQV1,24.975964
MAG00097,MG_0387RFLQV1,12.625749
MAG00098,MG_0387RFLQV1,216.81657
MAG00099,MG_0387RFLQV1,8112.577
MAG00100,MG_0387RFLQV1,1089.2991
MAG00101,MG_0387RFLQV1,35.89419
