sequence,region,type,From_To,most_similar_known_cluster,most_similar_known_cluster_type,similarity,BGC
MAG00001_0006,6.1,['RiPP-like'],21214_32149,,,,
MAG00001_0019,19.1,['RiPP-like'],24792_31288,gassericin T,RiPP,33,BGC0000619
MAG00001_0019,19.1,['RiPP-like'],24792_31288,gassericin-T,RiPP,33,BGC0001602
MAG00001_0019,19.1,['RiPP-like'],24792_31288,gassericin E,RiPP,22,BGC0001388
MAG00001_0052,52.1,['LAP'],1_16409,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG00001_0067,67.1,['RiPP-like'],1_9027,gassericin T,RiPP,22,BGC0000619
MAG00001_0067,67.1,['RiPP-like'],1_9027,gassericin-T,RiPP,22,BGC0001602
MAG00001_0067,67.1,['RiPP-like'],1_9027,gassericin E,RiPP,22,BGC0001388
MAG00001_0137,137.1,['RiPP-like'],1_4939,gassericin T,RiPP,22,BGC0000619
MAG00001_0137,137.1,['RiPP-like'],1_4939,gassericin-T,RiPP,22,BGC0001602
MAG00001_0137,137.1,['RiPP-like'],1_4939,salivaricin CRL1328 α peptide/salivaricin CRL1328 β peptide,RiPP,16,BGC0000624
MAG00002_0008,8.1,['NRPS'],1_17511,,,,
MAG00002_0135,135.1,['lanthipeptide-class-ii'],1_3736,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG00002_0135,135.1,['lanthipeptide-class-ii'],1_3736,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00003_0097,97.1,['terpene'],1_8538,,,,
MAG00003_0112,112.1,['hserlactone'],1_8218,,,,
MAG00003_0138,138.1,['redox-cofactor'],1_7741,,,,
MAG00003_0173,173.1,['RiPP-like'],1_7114,,,,
MAG00003_0270,270.1,['hserlactone'],1_5766,,,,
MAG00003_0529,529.1,['terpene'],1_4183,,,,
MAG00003_0531,531.1,['RiPP-like'],1_4180,,,,
MAG00003_0674,674.1,['T3PKS'],1_3611,,,,
MAG00003_0719,719.1,['cyanobactin'],1_3410,,,,
MAG00003_1059,1059.1,['terpene'],1_2451,carotenoid,Terpene,100,BGC0000647
MAG00003_1089,1089.1,['terpene'],1_2368,,,,
MAG00004_0043,43.1,['lanthipeptide-class-iii'],1_10235,,,,
MAG00005_0046,46.1,['RiPP-like'],1_6235,,,,
MAG00006_0003,3.1,['NRPS'],58081_108733,,,,
MAG00006_0004,4.1,['RiPP-like'],66906_78087,,,,
MAG00006_0020,20.1,['lanthipeptide-class-iii'],1_10566,,,,
MAG00007_0014,14.1,['lanthipeptide-class-ii'],1_11209,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG00007_0014,14.1,['lanthipeptide-class-ii'],1_11209,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG00007_0014,14.1,['lanthipeptide-class-ii'],1_11209,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG00007_0014,14.1,['lanthipeptide-class-ii'],1_11209,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG00007_0014,14.1,['lanthipeptide-class-ii'],1_11209,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00007_0015,15.1,['lanthipeptide-class-iii'],1_10561,,,,
MAG00008_0059,59.1,['NRPS'],1_10335,,,,
MAG00008_0091,91.1,['phosphonate'],1_8127,,,,
MAG00008_0221,221.1,['arylpolyene'],1_5472,APE Ec,Other,15,BGC0000836
MAG00008_0221,221.1,['arylpolyene'],1_5472,APE Vf,Other,10,BGC0000837
MAG00008_0221,221.1,['arylpolyene'],1_5472,aryl polyenes,Other,11,BGC0002008
MAG00008_0325,325.1,['terpene'],1_4394,,,,
MAG00008_0478,478.1,['terpene'],1_3340,,,,
MAG00008_0621,621.1,['terpene'],1_2850,,,,
MAG00008_0722,722.1,['terpene'],1_2549,,,,
MAG00008_1235,1235.1,['phenazine'],1_1608,,,,
MAG00008_1524,1524.1,['terpene'],1_1307,,,,
MAG00009_0002,2.1,['RiPP-like'],125495_136676,,,,
MAG00009_0010,10.1,['lanthipeptide-class-iii'],1_10546,,,,
MAG00010_0001,1.1,['lanthipeptide-class-ii'],80598_103303,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG00010_0001,1.1,['lanthipeptide-class-ii'],80598_103303,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00010_0003,3.1,['RiPP-like'],18889_30151,,,,
MAG00011_0001,1.1,['NRPS'],136072_178936,,,,
MAG00013_0005,5.1,['arylpolyene'],1_32318,flexirubin,Other,28,BGC0000839
MAG00013_0005,5.1,['arylpolyene'],1_32318,flexirubin,Polyketide,13,BGC0000838
MAG00013_0005,5.1,['arylpolyene'],1_32318,APE Vf,Other,15,BGC0000837
MAG00013_0005,5.1,['arylpolyene'],1_32318,aryl polyenes,Other,16,BGC0002008
MAG00013_0033,33.1,['RRE-containing'],1412_14866,,,,
MAG00014_0021,21.1,['lanthipeptide-class-ii'],1_12059,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG00014_0021,21.1,['lanthipeptide-class-ii'],1_12059,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG00014_0021,21.1,['lanthipeptide-class-ii'],1_12059,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG00014_0021,21.1,['lanthipeptide-class-ii'],1_12059,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG00014_0021,21.1,['lanthipeptide-class-ii'],1_12059,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00018_0001,1.1,['ranthipeptide'],151414_171560,,,,
MAG00018_0003,3.1,['RaS-RiPP'],88347_113573,,,,
MAG00020_0001,1.1,['ranthipeptide'],245870_265701,,,,
MAG00021_0021,21.1,['RRE-containing'],1_13538,,,,
MAG00023_0002,2.1,['lanthipeptide-class-iii'],24464_39537,anacyclamide A10,RiPP:Cyanobactin,14,BGC0000472
MAG00023_0008,8.1,['T3PKS'],1_24024,,,,
MAG00023_0154,154.1,['NRPS-like'],1_2641,,,,
MAG00025_0004,4.1,['ranthipeptide'],13486_30725,,,,
MAG00025_0015,15.1,"['thiopeptide', 'LAP']",1_16436,,,,
MAG00026_0005,5.1,['arylpolyene'],34287_80626,flexirubin,Other,28,BGC0000839
MAG00026_0005,5.1,['arylpolyene'],34287_80626,flexirubin,Polyketide,13,BGC0000838
MAG00026_0005,5.1,['arylpolyene'],34287_80626,APE Vf,Other,15,BGC0000837
MAG00026_0005,5.1,['arylpolyene'],34287_80626,aryl polyenes,Other,16,BGC0002008
MAG00026_0029,29.1,['RRE-containing'],6647_27036,,,,
MAG00027_0003,3.1,['ranthipeptide'],10898_32464,,,,
MAG00027_0013,13.1,['RiPP-like'],14691_25479,,,,
MAG00028_0001,1.1,['RRE-containing'],29945_50211,,,,
MAG00031_0008,8.1,['ranthipeptide'],54332_74717,,,,
MAG00032_0030,30.1,['T3PKS'],1_16837,,,,
MAG00035_0032,32.1,['ranthipeptide'],1327_13907,,,,
MAG00035_0050,50.1,['RRE-containing'],1_10532,,,,
MAG00035_0051,51.1,['lanthipeptide-class-iii'],1_10161,,,,
MAG00035_0089,89.1,['RRE-containing'],1_6689,,,,
MAG00037_0020,20.1,['ranthipeptide'],210_15349,,,,
MAG00038_0002,2.1,['ranthipeptide'],18761_38907,,,,
MAG00038_0004,4.1,['RaS-RiPP'],89295_114518,,,,
MAG00039_0431,431.1,['RRE-containing'],1_1551,,,,
MAG00041_0002,2.1,['T3PKS'],123795_165102,,,,
MAG00044_0002,2.1,['NRPS'],11966_62618,,,,
MAG00044_0005,5.1,['lanthipeptide-class-v'],55562_79343,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG00044_0005,5.1,['lanthipeptide-class-v'],55562_79343,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG00044_0005,5.1,['lanthipeptide-class-v'],55562_79343,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG00044_0005,5.1,['lanthipeptide-class-v'],55562_79343,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG00046_0061,61.1,['ranthipeptide'],1_5462,,,,
MAG00047_0001,1.1,['hserlactone'],2889_23566,,,,
MAG00047_0007,7.1,['cyanobactin'],51363_71150,,,,
MAG00047_0009,9.1,['RiPP-like'],61191_66371,,,,
MAG00047_0022,22.1,['terpene'],32478_52765,carotenoid,Terpene,100,BGC0000647
MAG00047_0031,31.1,['tropodithietic-acid'],12725_45422,,,,
MAG00047_0033,33.1,['terpene'],32638_45301,,,,
MAG00047_0051,51.1,['hydrogen-cyanide'],18602_32590,,,,
MAG00047_0077,77.1,['T3PKS'],1_28734,,,,
MAG00047_0108,108.1,['RiPP-like'],15319_21053,,,,
MAG00047_0110,110.1,['terpene'],1_17520,,,,
MAG00047_0134,134.1,['redox-cofactor'],4096_18314,,,,
MAG00047_0179,179.1,['RiPP-like'],1_10184,,,,
MAG00047_0270,270.1,['hserlactone'],1_7895,,,,
MAG00051_0109,109.1,['RiPP-like'],1_2808,,,,
MAG00052_0017,17.1,['lanthipeptide-class-iii'],1_10544,,,,
MAG00053_0029,29.1,['NRPS'],1_18873,,,,
MAG00054_0005,5.1,['RiPP-like'],20931_31866,,,,
MAG00054_0008,8.1,['RiPP-like'],23550_38960,gassericin T,RiPP,44,BGC0000619
MAG00054_0008,8.1,['RiPP-like'],23550_38960,gassericin-T,RiPP,44,BGC0001602
MAG00054_0008,8.1,['RiPP-like'],23550_38960,gassericin E,RiPP,33,BGC0001388
MAG00054_0026,26.1,['RiPP-like'],20580_27517,,,,
MAG00055_0013,13.1,['cyanobactin'],12517_25103,,,,
MAG00055_0021,21.1,['T3PKS'],1_22682,,,,
MAG00055_0033,33.1,['redox-cofactor'],5235_20749,,,,
MAG00055_0065,65.1,['hserlactone'],1_15298,,,,
MAG00055_0075,75.1,['hserlactone'],523_16385,,,,
MAG00055_0145,145.1,['RiPP-like'],3672_12485,,,,
MAG00055_0149,149.1,['hydrogen-cyanide'],1_10144,,,,
MAG00055_0328,328.1,['NRPS-like'],1_7903,,,,
MAG00055_0373,373.1,['terpene'],1_7335,,,,
MAG00055_0430,430.1,['terpene'],1_6705,,,,
MAG00055_0702,702.1,['terpene'],1_4033,carotenoid,Terpene,100,BGC0000647
MAG00055_0799,799.1,['RiPP-like'],1_3338,,,,
MAG00055_0849,849.1,['terpene'],1_2974,,,,
MAG00055_0927,927.1,['hserlactone'],1_2516,,,,
MAG00056_0074,74.1,['ranthipeptide'],1_5245,,,,
MAG00057_0001,1.1,['RiPP-like'],263095_273376,,,,
MAG00057_0001,1.2,"['NRPS-like', 'NRPS']",263095_273376,,,,
MAG00058_0018,18.1,['ranthipeptide'],1_20243,,,,
MAG00061_0002,2.1,"['NRP-metallophore', 'NRPS']",1_63503,,,,
MAG00061_0011,11.1,['ranthipeptide'],44198_59347,,,,
MAG00061_0031,31.1,['RiPP-like'],4229_13255,,,,
MAG00061_0034,34.1,['RiPP-like'],1_8591,,,,
MAG00061_0035,35.1,['lanthipeptide-class-iii'],1_10093,,,,
MAG00061_0039,39.1,['LAP'],1_7820,,,,
MAG00062_0018,18.1,['RiPP-like'],18750_25246,gassericin T,RiPP,33,BGC0000619
MAG00062_0018,18.1,['RiPP-like'],18750_25246,gassericin-T,RiPP,33,BGC0001602
MAG00062_0018,18.1,['RiPP-like'],18750_25246,gassericin E,RiPP,22,BGC0001388
MAG00062_0113,113.1,['RiPP-like'],1_5578,,,,
MAG00062_0125,125.1,['RiPP-like'],1_4087,gassericin T,RiPP,22,BGC0000619
MAG00062_0125,125.1,['RiPP-like'],1_4087,gassericin-T,RiPP,22,BGC0001602
MAG00062_0125,125.1,['RiPP-like'],1_4087,gassericin E,RiPP,22,BGC0001388
MAG00063_0001,1.1,['terpene'],468371_489234,,,,
MAG00063_0005,5.1,['terpene'],240261_265347,,,,
MAG00063_0008,8.1,['terpene'],8737_29792,carotenoid,Terpene,100,BGC0000647
MAG00063_0009,9.1,['hserlactone'],89131_109808,,,,
MAG00063_0013,13.1,['RiPP-like'],47239_58054,,,,
MAG00063_0014,14.1,['tropodithietic-acid'],1_32681,,,,
MAG00063_0016,16.1,['redox-cofactor'],144546_166874,,,,
MAG00063_0021,21.1,['hserlactone'],87493_108116,,,,
MAG00063_0023,23.1,['hserlactone'],1_16256,,,,
MAG00063_0024,24.1,['RiPP-like'],74282_85181,,,,
MAG00063_0032,32.1,['T3PKS'],15995_57056,,,,
MAG00063_0036,36.1,['hydrogen-cyanide'],10448_24436,,,,
MAG00063_0043,43.1,['NRPS-like'],1_26953,,,,
MAG00063_0050,50.1,['cyanobactin'],1_16845,,,,
MAG00064_0010,10.1,['RiPP-like'],22366_37847,gassericin T,RiPP,44,BGC0000619
MAG00064_0010,10.1,['RiPP-like'],22366_37847,gassericin-T,RiPP,44,BGC0001602
MAG00064_0010,10.1,['RiPP-like'],22366_37847,gassericin E,RiPP,44,BGC0001388
MAG00064_0015,15.1,['RiPP-like'],235_11317,,,,
MAG00064_0055,55.1,['lanthipeptide-class-i'],1_10684,,,,
MAG00065_0003,3.1,['lanthipeptide-class-ii'],28355_51060,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG00065_0003,3.1,['lanthipeptide-class-ii'],28355_51060,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00065_0007,7.1,['RiPP-like'],30821_41693,,,,
MAG00066_0014,14.1,['terpene'],1_14570,,,,
MAG00066_0082,82.1,['NRPS'],1_11392,,,,
MAG00066_0100,100.1,['arylpolyene'],1_10097,APE Ec,Other,21,BGC0000836
MAG00066_0100,100.1,['arylpolyene'],1_10097,APE Vf,Other,20,BGC0000837
MAG00066_0100,100.1,['arylpolyene'],1_10097,aryl polyenes,Other,16,BGC0002008
MAG00066_0219,219.1,['terpene'],1_5893,,,,
MAG00066_0230,230.1,['terpene'],1_5632,,,,
MAG00066_0381,381.1,['phenazine'],1_3994,,,,
MAG00066_0385,385.1,['phosphonate'],1_3952,,,,
MAG00067_0002,2.1,['terpene'],83730_104593,,,,
MAG00067_0003,3.1,['terpene'],205699_226754,carotenoid,Terpene,100,BGC0000647
MAG00067_0004,4.1,['hserlactone'],89131_109808,,,,
MAG00067_0004,4.2,['RiPP-like'],89131_109808,,,,
MAG00067_0009,9.1,['tropodithietic-acid'],148281_187256,,,,
MAG00067_0010,10.1,['redox-cofactor'],7076_29404,,,,
MAG00067_0010,10.2,['RiPP-like'],7076_29404,,,,
MAG00067_0011,11.1,['terpene'],165883_190969,,,,
MAG00067_0013,13.1,['cyanobactin'],92777_115227,,,,
MAG00067_0017,17.1,['NRPS-like'],1_26953,,,,
MAG00067_0017,17.2,['hydrogen-cyanide'],1_26953,,,,
MAG00067_0025,25.1,['T3PKS'],32225_73286,,,,
MAG00068_0013,13.1,['RiPP-like'],15855_26790,,,,
MAG00068_0021,21.1,['RiPP-like'],1_6497,gassericin T,RiPP,33,BGC0000619
MAG00068_0021,21.1,['RiPP-like'],1_6497,gassericin-T,RiPP,33,BGC0001602
MAG00068_0021,21.1,['RiPP-like'],1_6497,gassericin E,RiPP,22,BGC0001388
MAG00068_0038,38.1,['RiPP-like'],1_8521,,,,
MAG00068_0132,132.1,['RiPP-like'],1_5750,,,,
MAG00069_0007,7.1,['terpene'],1_12256,,,,
MAG00069_0042,42.1,['arylpolyene'],1_17727,APE Ec,Other,36,BGC0000836
MAG00069_0042,42.1,['arylpolyene'],1_17727,aryl polyenes,Other,38,BGC0002008
MAG00069_0042,42.1,['arylpolyene'],1_17727,APE Vf,Other,35,BGC0000837
MAG00069_0075,75.1,['NRPS'],1_13979,,,,
MAG00069_0216,216.1,['phosphonate'],1_6802,,,,
MAG00069_0308,308.1,['phenazine'],1_5020,,,,
MAG00069_0319,319.1,['terpene'],1_4852,,,,
MAG00069_0345,345.1,['terpene'],1_4519,,,,
MAG00069_0604,604.1,['terpene'],1_2601,,,,
MAG00069_0751,751.1,['terpene'],1_2125,,,,
MAG00070_0001,1.1,['lanthipeptide-class-ii'],54927_77632,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG00070_0001,1.1,['lanthipeptide-class-ii'],54927_77632,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00071_0039,39.1,['RiPP-like'],10183_18206,,,,
MAG00072_0013,13.1,['NRPS'],4497_38274,,,,
MAG00073_0002,2.1,['RiPP-like'],14129_25064,,,,
MAG00073_0036,36.1,['RiPP-like'],11922_19517,,,,
MAG00073_0088,88.1,['RiPP-like'],1_6569,gassericin T,RiPP,33,BGC0000619
MAG00073_0088,88.1,['RiPP-like'],1_6569,gassericin-T,RiPP,33,BGC0001602
MAG00073_0088,88.1,['RiPP-like'],1_6569,gassericin E,RiPP,22,BGC0001388
MAG00073_0108,108.1,['RiPP-like'],1_5583,,,,
MAG00076_0021,21.1,['T3PKS'],1_22318,,,,
MAG00080_0001,1.1,['lanthipeptide-class-v'],127187_169051,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG00080_0001,1.1,['lanthipeptide-class-v'],127187_169051,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG00080_0001,1.1,['lanthipeptide-class-v'],127187_169051,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG00080_0001,1.1,['lanthipeptide-class-v'],127187_169051,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG00080_0009,9.1,['lanthipeptide-class-iii'],1_10545,,,,
MAG00081_0006,6.1,['RRE-containing'],1_10331,,,,
MAG00081_0006,6.2,['ranthipeptide'],1_10331,,,,
MAG00082_0002,2.1,['hserlactone'],79249_99926,,,,
MAG00082_0002,2.2,['RiPP-like'],79249_99926,,,,
MAG00082_0004,4.1,['terpene'],16114_37169,carotenoid,Terpene,100,BGC0000647
MAG00082_0008,8.1,['terpene'],147842_168705,,,,
MAG00082_0014,14.1,['terpene'],123016_140600,,,,
MAG00082_0015,15.1,['cyanobactin'],81286_103736,,,,
MAG00082_0016,16.1,['hserlactone'],96674_117309,,,,
MAG00082_0021,21.1,['hydrogen-cyanide'],44349_58337,,,,
MAG00082_0021,21.2,['NRPS-like'],44349_58337,,,,
MAG00082_0022,22.1,['hserlactone'],13983_34606,,,,
MAG00082_0030,30.1,['T3PKS'],32219_73280,,,,
MAG00082_0033,33.1,['redox-cofactor'],15141_37469,,,,
MAG00082_0041,41.1,['RiPP-like'],17475_28374,,,,
MAG00082_0071,71.1,['tropodithietic-acid'],1_27637,,,,
MAG00083_0001,1.1,['lanthipeptide-class-ii'],97514_120219,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG00083_0001,1.1,['lanthipeptide-class-ii'],97514_120219,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00083_0018,18.1,['RiPP-like'],2391_13653,,,,
MAG00085_0008,8.1,['RiPP-like'],20932_31867,,,,
MAG00085_0023,23.1,['RiPP-like'],1_6497,gassericin T,RiPP,33,BGC0000619
MAG00085_0023,23.1,['RiPP-like'],1_6497,gassericin-T,RiPP,33,BGC0001602
MAG00085_0023,23.1,['RiPP-like'],1_6497,gassericin E,RiPP,22,BGC0001388
MAG00085_0031,31.1,['RiPP-like'],11921_20947,gassericin T,RiPP,22,BGC0000619
MAG00085_0031,31.1,['RiPP-like'],11921_20947,gassericin-T,RiPP,22,BGC0001602
MAG00085_0031,31.1,['RiPP-like'],11921_20947,gassericin E,RiPP,22,BGC0001388
MAG00085_0105,105.1,['RiPP-like'],1_5577,,,,
MAG00086_0002,2.1,['terpene'],83730_104593,,,,
MAG00086_0008,8.1,['terpene'],205699_226754,carotenoid,Terpene,100,BGC0000647
MAG00086_0011,11.1,['hserlactone'],89131_109808,,,,
MAG00086_0012,12.1,['redox-cofactor'],164579_186907,,,,
MAG00086_0018,18.1,['RiPP-like'],130894_141709,,,,
MAG00086_0019,19.1,['tropodithietic-acid'],34685_73660,,,,
MAG00086_0020,20.1,['cyanobactin'],31935_54385,,,,
MAG00086_0025,25.1,['T3PKS'],32225_73286,,,,
MAG00086_0026,26.1,['hydrogen-cyanide'],18561_32549,,,,
MAG00086_0026,26.2,['NRPS-like'],18561_32549,,,,
MAG00086_0027,27.1,['terpene'],26644_51730,,,,
MAG00086_0030,30.1,['RiPP-like'],74282_85181,,,,
MAG00087_0010,10.1,['T3PKS'],1_26572,,,,
MAG00089_0016,16.1,['lanthipeptide-class-iii'],1_10544,,,,
MAG00090_0001,1.1,['lanthipeptide-class-ii'],81776_104481,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG00090_0001,1.1,['lanthipeptide-class-ii'],81776_104481,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG00090_0005,5.1,['RiPP-like'],113339_124541,,,,
MAG00091_0006,6.1,['T3PKS'],18232_59539,,,,
MAG00092_0003,3.1,['LAP'],80805_94468,,,,
MAG00092_0028,28.1,['RiPP-like'],4202_13607,,,,
MAG00093_0018,18.1,['lanthipeptide-class-iii'],1_10547,,,,
MAG00096_0005,5.1,['HR-T2PKS'],2088_44427,,,,
MAG00096_0026,26.1,"['NRPS', 'NRPS-like']",1_22940,sulfazecin,NRP,11,BGC0001790
MAG00098_0059,59.1,['T3PKS'],1_6731,,,,
MAG00099_0019,19.1,['lanthipeptide-class-iii'],1_10543,,,,
MAG00100_0002,2.1,['RiPP-like'],1523_12785,,,,
MAG00100_0002,2.2,['lanthipeptide-class-ii'],1523_12785,,,,
MAG00101_0005,5.1,['RRE-containing'],50901_71179,,,,
MAG00102_0160,160.1,['T3PKS'],1_3213,,,,
MAG00103_0012,12.1,['thiopeptide'],1_21773,O-antigen,Saccharide,14,BGC0000781
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,enterobactin,NRP,100,BGC0002476
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,frederiksenibactin,NRP,69,BGC0002413
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,trichrysobactin/cyclic trichrysobactin/chrysobactin/dichrysobactin,NRP,69,BGC0002414
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,photobactin,NRP,41,BGC0002495
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,chromobactin,NRP,40,BGC0002679
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,turnerbactin,NRP,30,BGC0000451
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,enterobactin,NRP,75,BGC0000343
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,agrobactin,NRP,50,BGC0002474
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,viobactin,NRP,46,BGC0002680
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,griseobactin,NRP,30,BGC0000368
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,amonabactin P 750,NRP,42,BGC0001502
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,fimsbactin A,NRP:NRP siderophore,11,BGC0000352
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,streptonigrin,Other,3,BGC0001783
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,myxochelin B/myxochelin N/myxochelin O/myxochelin P/myxochelin Q/myxochelin A,NRP+Polyketide,16,BGC0002324
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,mirubactin,NRP,14,BGC0000392
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,amychelin,NRP,18,BGC0000300
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,thailanstatin A,NRP+Polyketide,10,BGC0001114
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,acinetobactin,NRP,11,BGC0000294
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,aminochelin/azotochelin/protochelin,NRP,25,BGC0002528
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,bacillibactin,NRP,28,BGC0000309
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,bacillibactin,NRP:NRP siderophore,40,BGC0001185
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,amphi-enterobactin 1/amphi-enterobactin 2/amphi-enterobactin 3/amphi-enterobactin 4,NRP,8,BGC0001890
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,bacillibactin/bacillibactin E/bacillibactin F,NRP,20,BGC0002695
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,propanochelin/butanochelin/pentanochelin,NRP,22,BGC0002473
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,heterobactin B/heterobactin S2,NRP,18,BGC0002696
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,heterobactin A/heterobactin S2,NRP,18,BGC0000371
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,potensibactin,NRP,40,BGC0002017
