MAG,MG,Sample,Participant,Timepoint,Project,CST,subCST,Geography,FinalTaxonomy,KeptCleaned,GC,N50,Size,Complete,Contam,N_BGC,BGC_detection,classification,Coverage
MAG00786,MG0087,MG_1050901179,10509,17,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_piotii,0,0.424,199712,1500861,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii,481.784
MAG00788,MG0088,MG_1050901209,10509,21,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_piotii,0,0.425,119108,1474355,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii,190.6907
MAG00790,MG0089,MG_1050901239,10509,24,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_piotii,0,0.424,365164,1499876,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii,1001.9449
MAG00792,MG0090,MG_1050901289,10509,29,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_piotii,0,0.424,206705,1502002,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii,701.56396
MAG00794,MG0091,MG_1050901329,10509,33,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_piotii,0,0.424,215532,1500669,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii,2656.2139
MAG00831,MG0092,MG_1060901199,10609,20,Gates-Stanford,IV-C,IV-C1,NorthAmer,Lactobacillus_jensenii,1,0.343,13587,1718276,97.62,0.17,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii,18.324085
MAG00832,MG0092,MG_1060901199,10609,20,Gates-Stanford,IV-C,IV-C1,NorthAmer,Streptococcus_anginosus,0,0.389,67620,1951646,99.88,0.543,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus,50.695045
MAG00833,MG0094,MG_1060901269,10609,27,Gates-Stanford,I,I-B,NorthAmer,Lactobacillus_crispatus,0,0.387,7051,2384487,95.84,1.506,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,71.05254
MAG00836,MG0096,MG_1061301149,10613,5,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.368,11429,2085277,98.81,0.53,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,576.8883
MAG00012,MG2130,MG_0273RFLQV1,P715,0,XPENN,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis_F,0,0.399,35737,1620003,87.51,5.363,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_F,567.2482
MAG00837,MG0097,MG_1061301189,10613,9,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,0,0.367,21914,2163497,99.02,0.185,4,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,243.39987
MAG00838,MG0098,MG_1061301229,10613,14,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.368,24193,2098255,98.44,0.09,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,1753.6221
MAG00015,MG2130,MG_0273RFLQV1,P715,0,XPENN,IV-B,IV-B,NorthAmer,Berryella_sp001552935,1,0.466,10397,1287283,94.13,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella sp001552935,78.12445
MAG00016,MG2130,MG_0273RFLQV1,P715,0,XPENN,IV-B,IV-B,NorthAmer,Aerococcus_christensenii,0,0.39,54472,1479239,98.26,0,0,FALSE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus christensenii,76.531166
MAG00017,MG2130,MG_0273RFLQV1,P715,0,XPENN,IV-B,IV-B,NorthAmer,Parvimonas_sp001552895,1,0.257,36450,1475719,94.82,0,0,FALSE,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas sp001552895,23.203686
MAG00839,MG0099,MG_1061301269,10613,19,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,0,0.368,21765,2012691,95.49,0.092,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,1290.3464
MAG00019,MG2130,MG_0273RFLQV1,P715,0,XPENN,IV-B,IV-B,NorthAmer,Fannyhessea_vaginae,1,0.424,82515,1682769,99.19,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae,858.4571
MAG00841,MG0100,MG_1061301329,10613,26,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.369,24193,2076834,98.44,0.09,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,869.597
MAG00842,MG0101,MG_1062101149,10621,3,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis,0,0.413,866292,1644659,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,208.16402
MAG00022,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Prevotella_sp000479005,0,0.462,54349,2091655,86.07,0.178,0,FALSE,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000479005,31.21329
MAG00846,MG0102,MG_1062101189,10621,6,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis,0,0.412,1025244,1700802,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,485.0774
MAG00024,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis_C,0,0.434,164855,1466096,96.89,1.742,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_C,3052.695
MAG00848,MG0103,MG_1062101239,10621,9,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis,0,0.413,428691,1646822,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,163.16115
MAG00850,MG0104,MG_1062101299,10621,13,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis,0,0.414,250362,1808093,100,3.522,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,519.90985
MAG00852,MG0105,MG_1062101359,10621,16,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis,0,0.413,261842,1648508,100,0,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,157.24464
MAG00853,MG0106,MG_1062201159,10622,15,Gates-Stanford,III,III-A,NorthAmer,Lactobacillus_iners,0,0.322,170844,1179699,99.41,1.327,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,181.35162
MAG00029,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Prevotella_colorans,0,0.473,17387,2187723,96.06,0.337,0,FALSE,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella colorans,37.647743
MAG00030,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Porphyromonas_uenonis,0,0.54,3048,1354672,75.87,1.022,0,FALSE,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis_A,10.254965
MAG00855,MG0107,MG_1062201199,10622,19,Gates-Stanford,III,III-A,NorthAmer,Lactobacillus_iners,0,0.322,159870,1188441,99.41,0.442,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,440.6974
MAG00856,MG0108,MG_1062201239,10622,23,Gates-Stanford,III,III-B,NorthAmer,Lactobacillus_iners,0,0.322,159870,1174807,99.41,0.568,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,165.95903
MAG00033,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Varibaculum_cambriense,0,0.523,29869,1842801,91.93,2.369,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__,30.447506
MAG00034,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Berryella_sp001552935,0,0.467,182963,1558403,98.99,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella sp001552935,213.1355
MAG00858,MG0109,MG_1062201329,10622,32,Gates-Stanford,III,III-B,NorthAmer,Lactobacillus_iners,0,0.322,105402,1175207,99.41,1.327,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,156.54918
MAG00036,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Fannyhessea_vaginae,0,0.425,87225,1431694,99.73,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae,743.8358
