MAG,contig_id,region,GBK,From_To,Length,type,most_similar_known_cluster,most_similar_known_cluster_type,similarity,classification,FinalTaxonomy,Genus
MAG00001,MAG00001_0006,6.1,MAG00001_0006.region001,21214_32149,10935,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00001,MAG00001_0019,19.1,MAG00001_0019.region001,24792_31288,6496,RiPP-like,gassericin T,RiPP,33.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00001,MAG00001_0052,52.1,MAG00001_0052.region001,1_16409,16408,LAP,listeriolysin S,RiPP:LAP,25.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00001,MAG00001_0067,67.1,MAG00001_0067.region001,1_9027,9026,RiPP-like,gassericin T,RiPP,22.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00001,MAG00001_0137,137.1,MAG00001_0137.region001,1_4939,4938,RiPP-like,gassericin T,RiPP,22.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00002,MAG00002_0008,8.1,MAG00002_0008.region001,1_17511,17510,NRPS,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris,Lactobacillus_mulieris,Lactobacillus
MAG00002,MAG00002_0135,135.1,MAG00002_0135.region001,1_3736,3735,lanthipeptide-class-ii,mutacin II,RiPP:Lanthipeptide,100.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris,Lactobacillus_mulieris,Lactobacillus
MAG00004,MAG00004_0043,43.1,MAG00004_0043.region001,1_10235,10234,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00005,MAG00005_0046,46.1,MAG00005_0046.region001,1_6235,6234,RiPP-like,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium modestum,Cutibacterium_modestum,Cutibacterium
MAG00006,MAG00006_0003,3.1,MAG00006_0003.region001,58081_108733,50652,NRPS,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00006,MAG00006_0004,4.1,MAG00006_0004.region001,66906_78087,11181,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00006,MAG00006_0020,20.1,MAG00006_0020.region001,1_10566,10565,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00007,MAG00007_0014,14.1,MAG00007_0014.region001,1_11209,11208,lanthipeptide-class-ii,mutacin II,RiPP:Lanthipeptide,100.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00007,MAG00007_0015,15.1,MAG00007_0015.region001,1_10561,10560,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00009,MAG00009_0002,2.1,MAG00009_0002.region001,125495_136676,11181,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00009,MAG00009_0010,10.1,MAG00009_0010.region001,1_10546,10545,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00010,MAG00010_0001,1.1,MAG00010_0001.region001,80598_103303,22705,lanthipeptide-class-ii,ruminococcin A,RiPP:Lanthipeptide,28.0,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,Gardnerella_swidsinkii,Bifidobacterium
MAG00010,MAG00010_0003,3.1,MAG00010_0003.region001,18889_30151,11262,RiPP-like,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,Gardnerella_swidsinkii,Bifidobacterium
MAG00011,MAG00011_0001,1.1,MAG00011_0001.region001,136072_178936,42864,NRPS,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii,Lactobacillus_jensenii,Lactobacillus
MAG00013,MAG00013_0005,5.1,MAG00013_0005.region001,1_32318,32317,arylpolyene,flexirubin,Other,28.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii,Prevotella_amnii,Prevotella
MAG00013,MAG00013_0033,33.1,MAG00013_0033.region001,1412_14866,13454,RRE-containing,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii,Prevotella_amnii,Prevotella
MAG00014,MAG00014_0021,21.1,MAG00014_0021.region001,1_12059,12058,lanthipeptide-class-ii,mutacin II,RiPP:Lanthipeptide,100.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00018,MAG00018_0001,1.1,MAG00018_0001.region001,151414_171560,20146,ranthipeptide,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515,KA00274_sp902373515,KA00274
MAG00018,MAG00018_0003,3.1,MAG00018_0003.region001,88347_113573,25226,RaS-RiPP,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515,KA00274_sp902373515,KA00274
MAG00020,MAG00020_0001,1.1,MAG00020_0001.region001,245870_265701,19831,ranthipeptide,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae,Megasphaera_lornae,Megasphaera
MAG00021,MAG00021_0021,21.1,MAG00021_0021.region001,1_13538,13537,RRE-containing,,,,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__,Fannyhessea_spNov3,Fannyhessea
MAG00023,MAG00023_0002,2.1,MAG00023_0002.region001,24464_39537,15073,lanthipeptide-class-iii,anacyclamide A10,RiPP:Cyanobactin,14.0,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia vaginalis,Sneathia_vaginalis,Sneathia
MAG00023,MAG00023_0008,8.1,MAG00023_0008.region001,1_24024,24023,T3PKS,,,,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia vaginalis,Sneathia_vaginalis,Sneathia
MAG00023,MAG00023_0154,154.1,MAG00023_0154.region001,1_2641,2640,NRPS-like,,,,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia vaginalis,Sneathia_vaginalis,Sneathia
MAG00025,MAG00025_0004,4.1,MAG00025_0004.region001,13486_30725,17239,ranthipeptide,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355,Dialister_sp001553355,Dialister
MAG00025,MAG00025_0015,15.1,MAG00025_0015.region001,1_16436,16435,"thiopeptide, LAP",,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355,Dialister_sp001553355,Dialister
MAG00026,MAG00026_0005,5.1,MAG00026_0005.region001,34287_80626,46339,arylpolyene,flexirubin,Other,28.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii,Prevotella_amnii,Prevotella
MAG00026,MAG00026_0029,29.1,MAG00026_0029.region001,6647_27036,20389,RRE-containing,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii,Prevotella_amnii,Prevotella
MAG00027,MAG00027_0003,3.1,MAG00027_0003.region001,10898_32464,21566,ranthipeptide,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacrimalis,Peptoniphilus_lacrimalis,Peptoniphilus_A
MAG00027,MAG00027_0013,13.1,MAG00027_0013.region001,14691_25479,10788,RiPP-like,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacrimalis,Peptoniphilus_lacrimalis,Peptoniphilus_A
MAG00028,MAG00028_0001,1.1,MAG00028_0001.region001,29945_50211,20266,RRE-containing,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis,Prevotella_timonensis,Prevotella
MAG00031,MAG00031_0008,8.1,MAG00031_0008.region001,54332_74717,20385,ranthipeptide,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae,Megasphaera_lornae,Megasphaera
MAG00032,MAG00032_0030,30.1,MAG00032_0030.region001,1_16837,16836,T3PKS,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_A,Gardnerella_vaginalis_A,Bifidobacterium
MAG00035,MAG00035_0032,32.1,MAG00035_0032.region001,1327_13907,12580,ranthipeptide,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas sp001552895,Parvimonas_sp001552895,Parvimonas
MAG00035,MAG00035_0050,50.1,MAG00035_0050.region001,1_10532,10531,RRE-containing,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas sp001552895,Parvimonas_sp001552895,Parvimonas
MAG00035,MAG00035_0051,51.1,MAG00035_0051.region001,1_10161,10160,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas sp001552895,Parvimonas_sp001552895,Parvimonas
