MAG,Description,GBK,Class,Category,Family
MAG00001,MAG00001_0006,MAG00001_0006.region001,RiPP-like,RiPP,FAM_00240
MAG00001,MAG00001_0019,MAG00001_0019.region001,RiPP-like,RiPP,FAM_00094
MAG00001,MAG00001_0052,MAG00001_0052.region001,LAP,RiPP,FAM_00101
MAG00001,MAG00001_0067,MAG00001_0067.region001,RiPP-like,RiPP,FAM_00090
MAG00001,MAG00001_0137,MAG00001_0137.region001,RiPP-like,RiPP,FAM_00087
MAG00002,MAG00002_0008,MAG00002_0008.region001,NRPS,NRPS,FAM_00165
MAG00002,MAG00002_0135,MAG00002_0135.region001,lanthipeptide-class-ii,RiPP,FAM_00175
MAG00004,MAG00004_0043,MAG00004_0043.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00006,MAG00006_0003,MAG00006_0003.region001,NRPS,NRPS,FAM_00349
MAG00006,MAG00006_0004,MAG00006_0004.region001,RiPP-like,RiPP,FAM_00169
MAG00006,MAG00006_0020,MAG00006_0020.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00007,MAG00007_0014,MAG00007_0014.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG00007,MAG00007_0015,MAG00007_0015.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00009,MAG00009_0002,MAG00009_0002.region001,RiPP-like,RiPP,FAM_00169
MAG00009,MAG00009_0010,MAG00009_0010.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00010,MAG00010_0001,MAG00010_0001.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00010,MAG00010_0003,MAG00010_0003.region001,RiPP-like,RiPP,FAM_00195
MAG00011,MAG00011_0001,MAG00011_0001.region001,NRPS,NRPS,FAM_00165
MAG00013,MAG00013_0005,MAG00013_0005.region001,arylpolyene,PKS,FAM_00017
MAG00013,MAG00013_0033,MAG00013_0033.region001,RRE-containing,RiPP,FAM_00038
MAG00014,MAG00014_0021,MAG00014_0021.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG00018,MAG00018_0001,MAG00018_0001.region001,ranthipeptide,RiPP,FAM_00112
MAG00018,MAG00018_0003,MAG00018_0003.region001,RaS-RiPP,RiPP,FAM_00226
MAG00020,MAG00020_0001,MAG00020_0001.region001,ranthipeptide,RiPP,FAM_00106
MAG00021,MAG00021_0021,MAG00021_0021.region001,RRE-containing,RiPP,FAM_00346
